Store_Name,Store_Type,Brand,Product_Name,Price,Size,Category
Pat's,Local,Enfamil,"""Enfamil Added Rice For Reflux/Spit-Up Infant Formula""",25.97,12.9,Special
Tadych's,Local,Enfamil,"""Enfamil Added Rice For Reflux/Spit-Up Infant Formula""",29.99,12.9,Special
Walgreen's,Chain,Enfamil,"""Enfamil Added Rice For Reflux/Spit-Up Infant Formula""",22.99,12.4,Special
Walmart,Chain,Enfamil ,"""Enfamil Added Rice For Reflux/Spit-Up Infant Formula""",26.97,12.9,Special
Pat's,Local,Enfamil,"""Enfamil Gentlease For Easing Fusiness, Crying, Gas & Spit-Up Infant Formula""",24.99,12.4,Special
Tadych's,Local,Enfamil,"""Enfamil Gentlease For Easing Fusiness, Crying, Gas & Spit-Up Infant Formula""",21.99,12.4,Special
Walgreen's,Chain,Enfamil,"""Enfamil Gentlease For Easing Fusiness, Crying, Gas & Spit-Up Infant Formula""",43.99,19.5,Special
Walmart,Chain,Enfamil,"""Enfamil Gentlease For Easing Fusiness, Crying, Gas & Spit-Up Infant Formula""",23.76,12.4,Special
Pat's,Local,Enfamil,"""Enfamil ProSobee Simply Plant-Based Dairy Free Lactose Free Infant Formula""",24.99,12.9,Special
Tadych's,Local,Enfamil,"""Enfamil ProSobee Simply Plant-Based Dairy Free Lactose Free Infant Formula""",29.99,12.9,Special
Walgreen's,Chain,Enfamil,"""Enfamil ProSobee Simply Plant-Based Dairy Free Lactose Free Infant Formula""",46.99,20.9,Special
Walmart,Chain,Enfamil,"""Enfamil ProSobee Simply Plant-Based Dairy Free Lactose Free Infant Formula""",23.96,12.9,Special
Pat's,Local,Similac,"""Similac Advance Infant Formula With Iron""",22.99,12.4,Regular
Tadych's,Local,Similac,"""Similac Advance Infant Formula With Iron""",21.99,12.4,Regular
Walgreen's,Chain,Similac,"""Similac Advance Infant Formula With Iron""",21.99,12.4,Regular
Walmart,Chain,Similac,"""Similac Advance Infant Formula With Iron""",19.97,12.4,Regular
Walmart,Chain,Similac,"""Similac NeoSure For Babies Born Prematurely Infant Formula""",29.88,13.1,Special
Pat's,Local,Similac,"""Similac NeoSure For Babies Born Prematurely Infant Formula""",42.05,13.1,Special
Tadych's,Local,Similac,"""Similac NeoSure For Babies Born Prematurely Infant Formula""",19.99,13.1,Special
Walgreen's,Chain,Similac,"""Similac NeoSure For Babies Born Prematurely Infant Formula""",31.99,13.1,Special
Pat's,Local,Similac,"""Similac Sensitive For Fussiness & Gas Due to Lactose Sensitivity""",29.19,12.5,Special
Tadych's,Local,Similac,"""Similac Sensitive For Fussiness & Gas Due to Lactose Sensitivity""",21.99,12.5,Special
Walgreen's,Chain,Similac,"""Similac Sensitive For Fussiness & Gas Due to Lactose Sensitivity""",21.99,12.5,Special
Walmart,Chain,Similac,"""Similac Sensitive For Fussiness & Gas Due to Lactose Sensitivity""",21.28,12.5,Special
Pat's,Local,Similac,"""Similac Soy Isomil For Fussiness & Gas Infant Formula""",28.99,12.4,Special
Tadych's,Local,Similac,"""Similac Soy Isomil For Fussiness & Gas Infant Formula""",26.49,12.4,Special
Walgreen's,Chain,Similac,"""Similac Soy Isomil For Fussiness & Gas Infant Formula""",22.99,12.4,Special
Walmart,Chain,Similac,"""Similac Soy Isomil For Fussiness & Gas Infant Formula""",21.97,12.4,Special
Pat's,Local,Similac,"""Similac Total Comfort Easy-to-Digest Gentle Protein & Prebiotics Infant Formula""",29.99,12.6,Regular
Tadych's,Local,Similac,"""Similac Total Comfort Easy-to-Digest Gentle Protein & Prebiotics Infant Formula""",21.99,12.6,Regular
Walgreen's,Chain,Similac,"""Similac Total Comfort Easy-to-Digest Gentle Protein & Prebiotics Infant Formula""",21.99,12.6,Regular
Walmart,Chain,Similac,"""Similac Total Comfort Easy-to-Digest Gentle Protein & Prebiotics Infant Formula""",21.58,12.6,Regular
